Row,amygdala,angular gyrus,caudate,cerebellar cortex,cingulate gyrus frontal part,cingulate gyrus parietal part,cingulate gyrus retrosplenial part,claustrum,cuneus,dentate nucleus,epithalamus,fastigial nucleus,frontal operculum,frontal pole,fusiform gyrus,globus pallidus,gyrus rectus,hippocampus,inferior frontal gyrus,inferior temporal gyrus,insula,interposed nucleus,lingual gyrus,medial frontal gyrus,middle temporal gyrus,myelencephalon,nucleus accumbens,occipital pole,occipito-temporal gyrus,orbital gyrus,paracentral lobule,parahippocampal gyrus,parolfactory gyri,planum polare,planum temporale,pontine tegmentum,postcentral gyrus,precentral gyrus,precuneus,putamen,red nucleus,subcallosal cingulate gyrus,substantia nigra,subthalamic nucleus,superior frontal gyrus,superior parietal lobule,superior temporal gyrus,supramarginal gyrus,temporal pole,thalamus,transverse gyri
medial frontal gyrus,6.525078356833187e-05,0.004523643776721244,7.638920210112878e-05,0.00027728236135972297,0.0,0.0,9.049965057897486e-06,0.0,0.0007391652673693697,0.0005643643890247432,5.338943883268517e-05,0.0,0.004548839093642786,0.03586625656401931,0.051061348709063314,4.297394650273806e-06,0.04394229276393309,0.0002149232826027903,0.04105093602811305,0.0799092101079381,0.00016306002130945472,0.00018161512718259956,0.031648276695880787,0.09827091983429835,0.05935718124968799,0.016949714364494117,2.905092333674193e-05,0.027395141194248115,0.01987808759940453,0.02362486684603001,0.002922830800688563,0.003636492838124065,7.16232441712301e-06,0.006513123299441616,0.0016085643514299032,0.010901673588885871,0.008125677132509468,0.038167196792467474,0.0038859960907631705,4.507578749991248e-05,5.3416213877235165e-06,2.2223286976493826e-06,3.2397803905491002e-06,1.4592399279745947e-06,0.16011141952838678,0.003966615749903198,0.009708912291795078,0.0042214472364077524,0.009029575861472667,0.011279924643243617,8.586756787182615e-05
middle temporal gyrus,6.750868453287542e-05,0.004866261970296855,1.3809875628072204e-05,0.0,0.0,0.0,0.0,9.394473216375649e-08,0.001985409180602397,0.0,4.156114950924587e-05,0.0,0.00725320972511358,0.018434812370386803,0.08913741111841918,1.5782715003511092e-05,0.007136192166730405,3.081387214971213e-06,0.15568778422743854,0.1713933706058432,0.00035306309241782966,0.0,0.09532444207820628,0.04947901821441803,0.1245742095931776,0.0,1.474932294970977e-05,0.1139332588815068,0.04998312564720875,0.053538557980678275,8.455025894738084e-07,7.2450177444689e-05,3.2673977846554505e-05,0.021597856346554752,0.004806156130658484,0.0,0.0024963745788410684,0.01808362817261225,0.0026180517959395657,0.00020944038588587873,0.0,0.0,0.0,0.0,0.014058547334109668,0.003229406534968428,0.03617821030099479,0.018116790663066054,0.030569108544532677,0.0004229016063083662,0.0004850366521614748
myelencephalon,6.509344807268634e-08,0.0005810566642208346,1.5866527967717295e-05,0.03531519720296057,0.0,0.0,0.0,0.0,0.0027723787735017655,0.002317733585438088,3.6842891609140466e-05,4.328714296833641e-06,1.4971493056717857e-06,0.0013524953906922585,0.0008577038185297515,5.85841032654177e-07,0.00042437673470987857,9.406003246503177e-05,0.004149235387135227,0.00028427936109543943,0.0,0.0007349375754646651,0.000908964908886992,0.002715210452731929,3.9479176256084265e-05,0.2365803306769945,0.0,0.007494534143848742,0.00026872202700606735,0.003760546135331199,0.027459931443255023,3.7672833072067216e-05,0.0,0.00017720063901587038,0.0,0.11362691140197503,0.00924611746467464,0.04467602559650131,0.020101963353462777,5.5492164481965105e-06,0.0009565644927901439,0.0,0.00029285542287901584,3.83725876388486e-05,0.04503234713125119,0.03161076161986803,0.00017905580228594196,0.00012702986391384738,0.0002519116440412961,0.00480329435336958,0.0
nucleus accumbens,0.0,0.0,0.09008712099501347,0.0,0.0,0.0,0.01695133833896945,0.0,0.0,0.0,0.0,0.0,0.0,0.134292428497736,0.0,0.0,0.3559207886742706,0.0,0.0,0.0,0.0,0.0,0.0,0.02195219808563077,0.0,0.0,0.057330773198830745,0.0,0.0,0.22412162549435433,0.0,0.0,0.014257465466842437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008382529947842035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
occipital pole,3.2883644338781773e-06,0.0037777117482796487,7.485864917122674e-06,0.0,0.0,0.0,0.0,4.062097241849513e-06,0.03621688527552229,0.0,4.278742428081487e-05,0.0,3.617200877265995e-06,0.003009472443244909,0.034785228117612726,0.0,0.00881457692493165,2.717736487999317e-05,0.06623491344338123,0.021104413443506952,0.0003712950312252448,0.0,0.10624608769259394,0.01091812430996332,0.009146953195915937,0.0,3.98472396105238e-06,0.3905294485318062,0.05907920031541992,0.0658520511066768,8.704494089677528e-07,0.0004512990035694809,1.5919552524010236e-05,0.011312553952146908,0.0001131197365254093,0.0,0.0006139956697656535,0.0002666863555875202,0.00016290944271836477,0.0002513664459896877,0.0,0.0,0.0,0.0,0.016187631598652105,6.365886677584166e-05,0.020482506355779792,0.00012578961125593992,0.016690248430710285,0.0010178068222458938,0.0008715132915787134
occipito-temporal gyrus,0.00011713178755953903,0.0015709990344131837,1.7687577730126036e-05,0.0,0.0,0.0,1.0619001958415085e-05,1.6138300848655143e-07,0.003990098055024893,0.0,9.689435829532548e-05,0.0,6.035724517397023e-06,0.006126518597971558,0.0687768872161289,2.711234542574064e-05,0.01843481333602047,0.0006385280113778894,0.1922355987935781,0.04143615255677809,0.0006069937715196173,0.0,0.20826235170676732,0.023231503667461146,0.016549278818066997,4.7059285274678396e-05,1.8655875781045347e-05,0.17286308562504737,0.12583623833507476,0.08062078620895691,1.452447076378963e-06,0.006459161255064037,4.321836967269848e-05,0.012358162087671255,0.0,1.9559620628570034e-05,0.0012355160363713405,0.001636262323045145,0.003076315184372341,0.00036905066380704584,0.0,5.6806818987266105e-05,0.0,0.0,0.028119794994518787,0.002563052664181713,0.01876164620480743,5.4482903665059765e-05,0.0242760390515895,0.00031043635512473033,0.0
orbital gyrus,0.00027019383732827004,0.002877216430314402,0.003912572876482021,0.0,0.0,1.459091616699326e-06,0.003864497678342056,0.0,0.026034534304160518,0.0,0.0004553114096213025,0.0,5.200352172338624e-05,0.03256344551241221,0.017205757994540678,3.423253408409957e-05,0.14868974134009483,0.0005963943451744604,0.07623054081530074,0.015746591552630237,0.00022297912911610214,0.0,0.10023772343696588,0.05889791667531833,0.007604112079336872,0.0,0.001247074381011247,0.09779471770673898,0.06397136528960967,0.27990633679373744,0.0,0.008239340709078868,0.0009738501226329091,0.0053321567817137955,5.626855875681503e-05,0.0,1.309441194473754e-06,0.0006470510130978165,0.05386405059770566,0.00023876724866089998,1.7209798555940767e-06,0.01282268419058146,1.9080428833760416e-06,2.3944067556091505e-06,0.005956124217183318,0.04572048615885115,0.008204696636333648,0.0006471632509144857,0.007129645415670696,0.029978945307971027,9.802102655774959e-06
paracentral lobule,0.0,0.0019381480322192273,0.0002823144053386031,0.001249058032091669,1.4104988210682896e-06,0.0,0.0,0.0,0.0,0.003079762849766912,0.0,0.0,0.0,2.7596716064379583e-05,3.1153626134899616e-05,7.665754462327661e-07,0.0,0.0,0.009001742150022127,8.953601211998709e-06,0.00014009932855350035,0.001018962746150442,0.0,0.00027001853518102955,2.453041427944852e-07,0.09626304895387595,0.0,0.0,0.0,0.0,0.1631641732318232,1.226520713972426e-06,0.0,8.156362747916631e-06,0.0,0.05984725033680259,0.046223855484460966,0.2105811574038187,0.053985615855674816,5.779978864595057e-05,0.0001347946264655696,0.0,0.00023435744542228126,5.0839283594157054e-05,0.022461672454209075,0.060839965539674024,7.543102390930419e-06,0.0022366525109822665,1.1651946782738046e-05,0.001077989055510365,0.0
parahippocampal gyrus,0.0008459166645582918,5.362605643331173e-06,0.0019519884541725472,0.0,4.96384778780142e-05,0.0,4.180082347622248e-05,0.0,0.06665842567098572,0.0,0.0002063915659138485,0.0,0.0,0.003786549595027022,0.017849089127055802,0.0,0.25307634810405766,0.02310843023607565,0.0004346460625274318,0.0017252464873558008,0.0,0.0,0.031393380949604706,0.011143769532259786,0.00037276984356591824,0.0,0.0005577109869064421,0.004715930403828956,0.016356084714868883,0.05160724166266076,0.0,0.29265320276809453,0.0,0.0065055281589047305,0.0,0.0,0.0,0.0,0.03499993949880813,0.0,0.0,0.025817783610337125,0.0,0.0,0.029329052782339812,0.0059464421449102545,0.006203159702246134,0.0,0.008098084532265286,0.0008151160577863384,0.0
parolfactory gyri,0.0005766687043749078,0.0,0.0007788028150380141,0.0,0.0,0.0,0.0,0.0,0.0015540594176082542,0.0,0.0,0.0,0.0,0.07624902376862545,0.09399618045638664,0.0,0.23549769591664546,0.0,0.0030415591550521388,0.04333198850045132,0.0008909176861345547,0.0,0.33036488071223225,0.1920448634067154,0.02081408490123662,0.0,0.0005725769207582457,0.23228019006607684,0.23762787846747974,0.1333926914743324,0.0,0.0014956833046772086,0.004904684628505601,0.022897621118840944,0.0007127887060225327,0.0,0.0,2.073170365775449e-05,0.0,0.0016252564525381743,0.0,1.6367134466648281e-06,0.0,0.0,0.18648249275822495,0.0,0.04014694413324157,0.0017324611832947206,0.02926225414177157,0.0,0.0
