Row,addiction,arithmetic,arousal,attention,aversive,decisionMaking,defaultMode,emotions,eyeMovements,face,food,hearing,heartRate,imagery,language,memory,movement,navigation,pain,planning,pleasant,reading,reward,sleep,sound,spatial,tapping,theoryMind,touch,vision
insula,0.006106498185545206,5.736433982849121,4.939906120300293,3.784287929534912,5.087422847747803,5.346116542816162,2.0664805422399013e-09,5.4235005378723145,0.5536919832229614,0.08322545140981674,6.288636207580566,6.319085121154785,5.333836555480957,0.6379302740097046,4.246068000793457,8.125528335571289,5.750782489776611,1.7462002038955688,11.87895393371582,0.005908195860683918,5.95617151260376,0.7968649864196777,5.2501373291015625,2.7767174243927,6.4196858406066895,7.592617293994408e-06,2.207965612411499,2.938469648361206,5.663673400878906,6.607543241443636e-07
interposed nucleus,0.0006292815087363124,0.0,0.0,4.533771378749428e-15,0.004881724249571562,1.2830212486841223e-21,0.0,1.7468122504027406e-09,5.209035862208111e-06,0.0,1.1405135502684516e-08,0.0,0.0,0.0,0.0,6.296469811875203e-15,5.167804718017578,0.0,5.355541229248047,0.0,2.034223633984311e-08,0.0,0.0,1.287596962384896e-08,5.4414880533339843e-14,1.404223200392185e-12,0.8246837258338928,0.0,7.750942927486903e-07,0.0
lingual gyrus,0.7894256711006165,0.047621458768844604,3.001367758770357e-06,0.14417558908462524,4.572828769683838,4.039748091599904e-05,7.550724506378174,3.774054675886873e-06,5.568050861358643,5.215338706970215,1.0391429662704468,0.0015414139488711953,7.941045623738319e-06,4.7722649574279785,5.124671936035156,5.695137977600098,0.001928670215420425,9.92105770111084,1.4748113130735874e-07,1.3301020089784288e-06,1.7011709213256836,7.662288665771484,0.00959781650453806,2.839581547675607e-08,0.0085012661293149,3.3948657512664795,0.004064488690346479,2.25984787940979,1.0987585064015093e-08,3.710486888885498
medial frontal gyrus,2.55792236328125,5.47028923034668,1.9266821146011353,5.66363525390625,0.569938063621521,1.0798428058624268,6.7611589431762695,4.140769004821777,8.020766258239746,0.40571078658103943,4.228645324707031,3.6606595516204834,5.677604675292969,6.7762603759765625,12.064460754394531,9.72385025024414,6.691948413848877,5.482635498046875,5.0883893966674805,7.7500433921813965,3.076611042022705,9.258546829223633,3.364304542541504,1.9843358993530273,0.04927762970328331,9.130500793457031,5.702879905700684,5.931100368499756,0.500944197177887,2.716643848543754e-06
middle temporal gyrus,0.00041761781903915107,6.025230884552002,0.2714179754257202,4.687880992889404,1.4406898021697998,5.499573035194771e-06,10.488327026367188,5.013854026794434,6.293873310089111,7.2033796310424805,0.0008462243131361902,5.966300964355469,4.934377670288086,3.9013636112213135,15.358612060546875,5.638803958892822,6.046858787536621,4.060482978820801,4.8483428955078125,4.7733588218688965,0.05816107615828514,14.863932609558105,0.00012769110617227852,5.308686741045676e-05,8.704351425170898,0.006023322697728872,0.6356306076049805,8.579768180847168,0.01520646084100008,7.243424892425537
myelencephalon,0.4984273612499237,1.7068677493625728e-07,0.5368450284004211,6.597144190317626e-31,0.0009619374177418649,2.6330667087200974e-26,4.488709449768066,0.8510369658470154,0.010665347799658775,4.7739312503125575e-12,0.6062334179878235,2.4604480266571045,11.34351921081543,0.00013535740436054766,1.321072808438406e-12,2.830649270535446e-09,3.3862240314483643,2.687520980834961,11.204190254211426,0.0014009580481797457,1.557363510131836,3.0324163180495134e-09,5.049460014561191e-05,6.88618803024292,7.747074296903921e-15,3.1425273494534167e-10,0.0003537744050845504,4.488036155700684,1.4580010943614978e-15,2.8571794246090576e-05
nucleus accumbens,7.640105247497559,1.1002464361808961e-06,3.3807201385498047,3.6478764275262027e-17,5.7195048332214355,8.549179077148438,6.386852713369251e-10,3.270220361173415e-08,3.257979719339943e-10,3.810079363120167e-08,5.221496105194092,7.261472002308925e-15,4.366118275811459e-07,8.211284097114913e-09,3.414229610143593e-08,2.2501511573791504,6.840068817837164e-05,1.2908422946929932,2.814831256866455,3.695349050758523e-06,2.9450008869171143,2.245115648946694e-09,27.47136878967285,2.368493369431235e-06,4.330825692571422e-18,3.8295122067211196e-05,1.646492592044524e-06,1.7920181960562331e-07,9.742852141378378e-14,1.8628489883009428e-16
occipital pole,4.070246917287079e-10,1.7071208953857422,8.708080713404343e-05,4.496542453765869,4.395114421844482,0.00020408935961313546,5.231781005859375,1.5937941074371338,6.1723198890686035,8.038559913635254,0.737607479095459,3.046204090118408,0.018850788474082947,5.604471683502197,4.880825996398926,6.62646484375,1.7418227195739746,4.494106769561768,2.3812243938446045,1.6957688331604004,0.8998569250106812,7.988042831420898,0.0335148349404335,3.6950739286112366e-06,0.5100080370903015,7.549267292022705,0.46932634711265564,0.035981811583042145,4.622123718261719,7.509296894073486
occipito-temporal gyrus,0.0035966921132057905,4.2247972942277556e-07,0.0011542243883013725,0.00196517794393003,0.0002858174266293645,8.929759331977039e-08,4.882136821746826,8.37099456418855e-09,4.564329624176025,3.1815052032470703,1.3426768779754639,0.28006285429000854,0.00025655562058091164,5.035388469696045,2.9660279750823975,5.682448387145996,0.011909701861441135,9.024005889892578,3.9583942452736665e-06,2.403045940013726e-08,0.27216386795043945,5.287502288818359,2.526726711948868e-05,3.682337990085216e-09,0.0001906651450553909,2.7413086891174316,6.861890869913623e-05,0.02335245907306671,2.9086569264258344e-10,3.772125482559204
orbital gyrus,7.493117332458496,6.162378787994385,6.529892444610596,0.2771625816822052,8.125312805175781,7.893991470336914,11.881674766540527,4.290699481964111,0.28773757815361023,4.476227760314941,11.21861457824707,0.0346219427883625,5.666098117828369,0.8560645580291748,11.702483177185059,8.901873588562012,0.5525181293487549,2.8351197242736816,5.006563186645508,2.079448938369751,5.469046592712402,6.864816188812256,25.3134765625,1.7936182022094727,0.7559338808059692,0.004677277058362961,0.010646529495716095,6.908935070037842,0.005580560769885778,9.730960925935506e-08
